"id","source","hyperlink","building_type","building","vacancy_rate","household_size","all_uses","du_density","emp_density","Pct_SF_Large_Lot","Pct_SF_Small_Lot","Pct_Attached_SF","Pct_MF_2_to_4","Pct_MF_5_Plus","Pct_Emp_Office_Svc","Pct_Educ_Svc","Pct_Medical_Svc","Pct_Public_Admin","Pct_Retail_Svc","Pct_Restaurant","Pct_Accommodation","Pct_Arts_Entertainment","Pct_Other_Svc","Pct_Manufacturing","Pct_Transport_warehouse","Pct_Wholesale","Pct_Construction_Util","Pct_Agriculture","Pct_Extraction","percent_of_building_type","floors","total_far","parking_spaces","parking_structure_square_feet","residential_efficiency","residential_lot_square_feet","square_feet_per_du","retail_efficiency","retail_square_feet_per_employee","office_efficiency","office_square_feet_per_employee","industrial_efficiency","industrial_square_feet_per_employee","misc_percent_of_retail_use","retail_percent_of_retail_use","restaurant_percent_of_retail_use","grocery_percent_of_retail_use","hardscape_percent","irrigated_percent","impervious_roof_percent","impervious_hardscape_percent","pervious_hardscape_percent","softscape_landscape_percent","id"
58,0,0,"High-Rise Residential","High-Rise Residential (Viridian, Nashville TN)",0.0635,1.735,0,552.4432941,22.99968,0,0,0,0,0.98,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.1,31,13.2,803.6,265188,0.9,0,918,1,500,0.85,300,0.85,1000,0,0.8,0.2,0,0.95,0.5,0.95,0,0,0,958
59,0,0,"High-Rise Residential","High-Rise Residential (199 New Montgomery, SF)",0.0635,1.685,0,571.634715,35.4692624,0,0,0,0,0.974,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0.2,20,16.58,275.86,91033.8,0.85,0,1046,0.85,450,0.85,300,0.85,1000,0,0.8,0.2,0,1,0.5,1,0,0,0,959
60,0,0,"High-Rise Residential","High-Rise Residential (The Metropolitan, SF)",0.0635,1.505,0,403.3131418,1.990829558,0,0,0,0,0.998,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.25,27,12.77,405.75,133897.5,0.85,0,1170,0.85,475,0.85,300,0.85,1000,0,0.8,0.2,0,0.5,0.2,0.5,0,0,0,960
61,0,0,"High-Rise Residential","High-Rise Residential (Pine & Franklin, SF)",0.0635,1.635,0,348.5296198,14.62527,0,0,0,0,0.985,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0.2,24,11.85,388.89,128333.7,0.85,0,1240,0.85,450,0.85,300,0.85,1000,0,0.8,0.2,0,0.97,0.5,0.97,0,0,0,961
62,0,1,"Urban Mid-Rise Residential","Mid-Rise Residential (Langstaff E-09)",0.0635,1.685,0,230.4563341,22.19209143,0,0,0,0,0.96,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.3,10,5.9,110,36300,0.85,0,910,0.85,450,0.85,350,0.85,1000,0,0.8,0.2,0,0.59,0.2,0,0,0,0,1062
63,0,0,"Urban Mid-Rise Residential","Mid-Rise Mixed (Eddy + Taylor Family Housing, SF)",0.0635,2.245,0,298.3361901,46.43949024,0,0,0,0,0.922,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0.03,14,8.04,150,49500,0.85,0,920,0.85,500,0.85,300,0.85,1000,0,0.8,0.2,0,0.9,0.5,0.9,0,0,0,1063
64,0,0,"Urban Mid-Rise Residential","Mid-Rise Mixed (Cubix Yerba Buena, SF)",0.0635,2.245,0,643.7853108,44.9199432,0,0,0,0,0.91,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0.01,8,6.74,31.7,31.7,0.8,0,332,0.85,500,0.85,300,0.85,1000,0,0.8,0.2,0,0.9,0.5,0.9,0,0,0,1064
65,0,0,"Urban Mid-Rise Residential","Mid-Rise Residential (AC Res Type 2/MU)",0.0635,2.245,0,123.4616959,17.34303346,0,0,0,0,0.94,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.01,17,4.2,65,21450,0.85,0,1184,0.85,538,0.85,350,0.85,1000,0,0.8,0.2,0,0.2471,0.15,0,0,0,0,1065
66,0,0,"Urban Mid-Rise Residential","Mid-Rise Residential (CapMetro Apt/Condo Hi)",0.0635,1.635,0,99.9702,24.684,0,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.65,8,3,50,16500,0.85,0,1000,0.85,450,0.85,350,0.85,1000,0,0.8,0.2,0,0.97,0.5,0.97,0,0,0,1066
67,0,1,"Urban Podium Multi-Family","Low-Rise Residential (AC Low Rise Res/MU)",0.0635,1.935,0,91.00140203,6.19394052,0,0,0,0,0.97,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.1,5,3,109.2016824,36036.56,0.85,0,1184,0.85,538,0.85,350,0.85,1000,0,0.8,0.2,0,0.6,0.2,0,0,0,0,1167
68,0,0,"Urban Podium Multi-Family","Low-Rise Residential (Alameda MF with Ret)",0.0635,2.245,0,47.60485714,14.8104,0,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.05,5,2,57.12582857,18851.52,0.85,0,1400,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.4,0.15,0,0,0,0,1168
