id,source,hyperlink,building_type,building,vacancy_rate,household_size,all_uses,du_density,emp_density,Pct_SF_Large_Lot,Pct_SF_Small_Lot,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,percent_of_building_type,floors,total_far,parking_spaces,parking_structure_square_feet,residential_efficiency,residential_lot_square_feet,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,misc_percent_of_retail_use,retail_percent_of_retail_use,restaurant_percent_of_retail_use,grocery_percent_of_retail_use,hardscape_percent,irrigated_percent,impervious_roof_percent,impervious_hardscape_percent,pervious_hardscape_percent,softscape_landscape_percent,id
98,0,0,SACOG Medium-High Density Attached Residential,"Townhome/Live-Work (Pearl Townhome, Portland)",0.0411,2.245,"Townhome, , ",25.801281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,1.11,32.251601,10643.02828,1,1742,1874,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.56,0.15,0,0,0,0,1498
99,0,0,SACOG Medium-High Density Attached Residential,"Townhome/Live-Work (Penthouse Row Homes, Stapleton, Denver)",0.0411,2.235,"Townhome, , ",27.492908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,3,1.24,68.73227,22681.64913,1,2219,1965,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.85,0.5,0.85,0,0,0,1499
100,0,0,SACOG Medium-High Density Attached Residential,"Townhome/Live-Work (Backyard Row Home, Stapleton, Denver)",0.0411,2.245,"Townhome, , ",24.025899,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,3,0.92,48.051799,15857.09353,1,1917,1668,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.31,0.2,0,0,0,0,14100
101,0,0,SACOG Medium-High Density Attached Residential,"Townhome/Live-Work (Sky Terrace, Stapleton, Denver)",0.0411,2.635,"Townhome, , ",14.99668,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,3,0.7,37.4917,12372.26116,1,2519,2033,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.23,0.2,0,0,0,0,14101
102,0,0,SACOG Medium-High Density Attached Residential,"Townhome/Live-Work (SACOG D. Attached Res, 2-4 floors)",0.0411,2.635,"Townhome, , ",30.041379,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,4,0.79,60.082759,19827.31034,1,1450,1146,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.2,0.2,0,0,0,0,14102
103,0,0,SACOG Medium Density Attached Residential,"Small Lot 4000 (Average, Albany)",0.031,2.54,"Single Family Small Lot, , ",10.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,2,0.375,20.6,0,1,4000,1500,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.34,0.5,0,0,0,0,15103
109,0,0,SACOG Medium Density Attached Residential,"Townhome/Live-Work (Sky Terrace, Stapleton, Denver)",0.0411,2.375,"Townhome, , ",14.99668,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,3,0.7,32.27,10649.1,1,2519,2033,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.23,0.5,0,0,0,0,15109
114,!,0,SACOG Mobile Home Park,Fake Mobile Home,0.031,3.06,"Single Family Small Lot, , ",25.005741,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6,33.7,33.7,1,1742,1000,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.85,0.5,0.85,0,0,0,16114
117,0,0,SACOG Medium-High Density Detached Residential,"Very Small Lot 2500 (The Boulders, Seattle WA)",0.031,3.24,"Single Family Small Lot, , ",26.240964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,4,1.18,0,7465,1,1660,1845,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.6,0.5,0.6,0,0,0,17117
118,0,0,SACOG Medium-High Density Detached Residential,"Very Small Lot 2500 (Inverness Square, Murray UT)",0.031,3.06,"Single Family Small Lot, , ",28.103226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,3,0.7,56.206452,0,1,1550,1775,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.4,0.5,0.4,0,0,0,17118
119,0,0,SACOG Medium-High Density Detached Residential,"Very Small Lot 2500 (Wild Sage Cohousing, Boulder CO)",0.031,3.06,"Single Family Small Lot, , ",29.156627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,1,58.313253,0,1,1494,1575,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.85,0.5,0.85,0,0,0,17119
120,!,0,SACOG Medium-High Density Detached Residential,3000-square-foot lot detached residential 2-story (860 42nd St),0.031,3.185,"Single Family Small Lot, , ",14.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,2,0.533,29.04,0,1,3000,1600,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.4,0.5,0.333333,0.066667,0.2,0.4,17120
121,!,0,SACOG Medium-High Density Detached Residential,3000-square-foot lot detached residential 3-story,0.031,3.06,"Single Family Small Lot, , ",14.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,3,0.8,29.04,0,1,3000,2400,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.4,0.5,0.333333,0.066667,0.2,0.4,17121
123,0,0,SACOG Medium-High Density Detached Residential,"Very Small Lot 2500 (Discovery Collection at Riverdale, Sacramento)",0.031,3.06,"Single Family Small Lot, , ",25.005741,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,0.6,33.7,33.7,1,1742,1378,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.85,0.5,0.85,0,0,0,17123
126,0,#VALUE!,SACOG Medium Density Detached Residential,3000-square-foot lot detached residential 2-story (860 42nd St),0.031,3.185,"Single Family Small Lot, , ",14.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,0.533,29.04,0,1,3000,1600,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.4,0.5,0.333333,0.066667,0.2,0.4,18126
127,0,0,SACOG Medium Density Detached Residential,3000-square-foot lot detached residential 3-story,0.031,3.06,"Single Family Small Lot, , ",14.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,0.8,29.04,0,1,3000,2400,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.4,0.5,0.333333,0.066667,0.2,0.4,18127
130,0,0,SACOG Medium Density Detached Residential,"Small Lot 4000 (Average, Albany)",0.031,2.54,"Single Family Small Lot, , ",10.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2,0.375,20.6,0,1,4000,1500,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.34,0.5,0,0,0,0,18130
134,0,0,SACOG Low Density Detached Residential,Daybreak 5500,0.031,2.72,"Single Family Small Lot, , ",7.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0.347,15.84,0,1,5500,1910,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.29,0.5,0,0,0,0,19134
136,0,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=st.+francis+wood+san+francisco&sll=37.768463,-122.261667&sspn=0.02412,0.038581&ie=UTF8&hq=&hnear=St+Francis+Wood,+San+Francisco,+California&t=h&z=15",SACOG Low Density Detached Residential,"Medium Lot (Average, St. Francis Wood, San Francisco)",0.031,2.64,"Single Family Small Lot, , ",8.712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,2,0.5,17.424,0,1,5000,2500,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.6,0.5,0.321,0.276,0,0.403,19136
138,0,0,SACOG Low Density Detached Residential,"Medium Lot 5500 (Kentlands, Stapleton, Denver)",0.031,2.72,"Single Family Small Lot, , ",7.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2,0.436364,15.84,0,1,5500,2400,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.34,0.5,0,0,0,0,19138
144,0,#VALUE!,SACOG Very Low Density Residential,"Estate Lot  (SACOG 2. Very Low Den Res, , 1-2 floors)",0.031,2.81,"Single Family Large Lot, , ",4.356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0.28,17.424,0,1,10000,2800,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.27,0.5,0,0,0,0,21144
145,0,0,SACOG Very Low Density Residential,"Estate Lot  (SCAG Large Lot, 1-2 floors)",0.031,3.41,"Single Family Large Lot, , ",2.178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,2,0.15,8.712,0,1,20000,3000,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.14,0.5,0,0,0,0,21145
146,0,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=632+n+foothill+beverly+hills+ca&sll=34.08126,-118.402534&sspn=0.012707,0.01929&ie=UTF8&hq=&hnear=632+N+Foothill+Rd,+Beverly+Hills,+Los+Angeles,+California+90210&ll=34.081491,-118.402201&spn=0.006318,0.009645&t=h&z=17",SACOG Very Low Density Residential,"Estate Lot (Average, Beverly Hills)",0.031,2.81,"Single Family Large Lot, , ",2.904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,2,0.3,11.616,0,1,15000,5000,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.24,0.5,0,0,0,0,21146
